,id_piramida,id_dzielnica,k_0_2,m_0_2,k_3_6,m_3_6,k_7_14,m_7_14,k_15_18,m_15_18,k_19_24,m_19_24,k_25_34,m_25_34,k_35_44,m_35_44,k_45_59_64,m_45_59_64,k_60_65_79,m_60_65_79,k_po_80,m_po_80,nazwa
0,1,1,183,187,352,424,805,870,449,435,626,599,1438,1361,2194,2032,3070,3583,4391,2434,1310,540,Stare Miasto
1,2,2,386,404,637,704,1025,1124,401,416,565,560,1999,1632,2811,2683,2765,3182,3915,2032,1570,714,Grzegórzki
2,3,3,386,478,908,921,1670,1784,749,806,965,1001,2593,2262,3880,3503,4692,5107,6508,3234,2244,1100,Prądnik Czerwony
3,4,4,973,1008,1623,1757,3130,3323,1301,1362,1726,1726,4896,4384,7064,6183,7409,7931,8690,4430,2701,1349,Prądnik Biały
4,5,5,258,275,508,476,919,1001,470,415,636,601,1688,1482,2419,2297,2801,3156,4506,2248,1886,830,Krowodrza
5,6,6,271,292,523,534,1034,1093,435,433,561,592,1431,1357,2181,1968,2468,2659,3166,1594,1183,705,Bronowice
6,7,7,174,165,365,362,805,914,451,455,547,514,989,967,1681,1457,2242,2444,2768,1576,886,414,Zwierzyniec
7,8,8,796,853,1518,1539,3195,3253,1471,1579,1718,1711,3938,3614,6227,5542,7148,7729,6902,3647,1866,957,Dębniki
8,9,9,175,172,293,332,716,762,308,306,332,375,808,708,1410,1346,1662,1803,1931,983,516,281,Łagiewniki-Borek Fałęcki
9,10,10,354,322,677,713,1480,1665,705,732,879,815,1715,1617,2789,2420,3065,3348,2986,1727,681,372,Swoszowice
10,11,11,583,567,1085,1134,2230,2392,1028,1053,1275,1337,2921,2641,5137,4738,5528,5757,7885,4310,1275,772,Podgórze Duchackie
11,12,12,701,704,1176,1305,2409,2565,1112,1201,1478,1472,3875,3437,5399,5041,6447,7278,9060,4452,2321,1150,Bieżanów-Prokocim
12,13,13,692,747,1208,1257,1726,1877,608,670,883,886,3223,2842,4653,4323,3785,4296,3950,2195,851,386,Podgórze
13,14,14,607,583,1027,1001,1486,1552,578,632,727,710,2552,2136,3563,3408,3040,3295,3900,2136,666,416,Czyżyny
14,15,15,451,480,782,853,1703,1804,896,942,1223,1272,2920,2739,3755,3360,5963,6500,7473,3709,1887,1496,Mistrzejowice
15,16,16,278,280,561,540,1127,1154,579,634,813,808,2135,1905,2716,2456,4137,5070,5308,2278,2452,1309,Bieńczyce
16,17,17,197,197,403,436,833,811,387,392,479,520,1245,1171,1669,1585,1965,2499,2489,1391,873,383,Wzgórza Krzesławickie
17,18,18,369,419,756,834,1595,1748,761,832,1050,1106,2605,2533,3827,3691,4595,5430,7065,3809,2319,751,Nowa Huta
